# id: cet6-core
# title: CET-6 重点词
# exam: CET-6
# track: Core Vocabulary
# description: 基于公开词表整理的 CET-6 重点词，用于进阶强化与冲刺。
# accent: cobalt
kind	term	pronunciation	meaning	phrases	example	tags
word	compact	[kəmˈpækt]	adj. 1. 紧密的，结实的 2. (文体)简洁的，紧凑的		Try to recall "compact" before checking the answer.	core,official
word	companion	[kəmˈpænjən]	n. 1. 同伴，同事 2. 志趣相同的人		Try to recall "companion" before checking the answer.	core,official
word	comparable	[ˈkɒmpərəbl]	adj. 类似的，可相比的		Try to recall "comparable" before checking the answer.	core,official
word	compare	[kəmˈpeə]	v. 1. 比较，对照 2. 比喻，比作 3. 比得上，相比 || compare to 把…比作 /compare with和…比较		Try to recall "compare" before checking the answer.	core,official
word	comparison	[kəmˈpærɪsən]	n. 1. 比较，对照 2. 比喻 || beyond comparison无法相比 / in comparison with和…相比较		Try to recall "comparison" before checking the answer.	core,official
word	compartment	[kəmˈpɑːtmənt]	n. 间隔(如火车车厢里的小房间)		Try to recall "compartment" before checking the answer.	core,official
word	compatible	[kəmˈpætəbl]	adj. 可和谐共处的，相容的，兼容的		Try to recall "compatible" before checking the answer.	core,official
word	compel	[kəmˈpel]	v. 强迫，强求		Try to recall "compel" before checking the answer.	core,official
word	compensate	[ˈkɒmpenseɪt]	v. 补偿，酬报		Try to recall "compensate" before checking the answer.	core,official
word	compete	[kəmˈpiːt]	v. 1. 比赛 2. 竞争，对抗		Try to recall "compete" before checking the answer.	core,official
word	competence	[ˈkɒmpɪtəns]	n. 能力，胜任某种工作的资格		Try to recall "competence" before checking the answer.	core,official
word	competitive	[kəmˈpetətɪv]	adj. 1. 竞争性的， 竞争的，有竞争力的 2. 比赛的		Try to recall "competitive" before checking the answer.	core,official
word	compile	[kəmˈpaɪl]	v. 编辑，汇编，编纂		Try to recall "compile" before checking the answer.	core,official
word	complain	[kəmˈpleɪn]	v. 抱怨，叫屈，控诉		Try to recall "complain" before checking the answer.	core,official
word	complaint	[kəmˈpleɪnt]	n. 1. 怨言，不满，牢骚 2. 投诉，抱怨，诉苦 3. 疾病		Try to recall "complaint" before checking the answer.	core,official
word	complement	[ˈkɒmplɪmənt]	n. 1. 补充物，配给物 2. 足量，足额 3. 补助语 v. 补充，补足，使完备		Try to recall "complement" before checking the answer.	core,official
word	complex	[ˈkɒmpleks]	adj. 复杂的，综合的 n. 1. 综合企业 2. 一组建筑群		Try to recall "complex" before checking the answer.	core,official
word	complexion	[kəmˈplekʃən]	n. 1. 肤色，气色，面色 2. 外观，形势		Try to recall "complexion" before checking the answer.	core,official
word	complicated	[ˈkɒmplɪkeɪtɪd]	adj. 结构复杂的，难懂的，难解的		Try to recall "complicated" before checking the answer.	core,official
word	complication	[ˌkɒmpliˈkeiʃәn]	n. 1. 复杂情况 2. 并发症		Try to recall "complication" before checking the answer.	core,official
word	compliment	[ˈkɒmplɪmənt]	n. 恭维，称赞 v. 称赞		Try to recall "compliment" before checking the answer.	core,official
word	comply	[kəmˈplaɪ]	v. 同意，遵从，依从，应允		Try to recall "comply" before checking the answer.	core,official
word	component	[kəmˈpəʊnənt]	adj. 组成的，合成的 n. 组成部分，成分，元件		Try to recall "component" before checking the answer.	core,official
word	compose	[kəmˈpəʊz]	v. 1. 组成，构成 2. 创作，作曲 3. 使安定，使平静		Try to recall "compose" before checking the answer.	core,official
word	composite	[ˈkɒmpəzɪt]	adj. 混合成的，综合成的 n. 合成物，复合材料		Try to recall "composite" before checking the answer.	core,official
word	compound	[ˈkɒmpaʊnd]	n. 1. 混合物，复合词 2. 用围墙圈起的建筑物(场地)adj. 混合的，复合的		Try to recall "compound" before checking the answer.	core,official
word	comprehension	[ˌkɒmprɪˈhenʃən]	n. 理解		Try to recall "comprehension" before checking the answer.	core,official
word	comprehensive	[ˌkɒmprɪˈhensɪv]	adj. 1. 综合的，全面的 2. 理解的，有理解力的		Try to recall "comprehensive" before checking the answer.	core,official
word	compromise	[ˈkɒmprəmaɪz]	n. 妥协，折衷办法，和解 v. 1. 妥协，互让解决，折衷处理 2. 危及，连累，遭到损害		Try to recall "compromise" before checking the answer.	core,official
word	compulsory	[kəmˈpʌlsərɪ]	adj. 强迫的，强制的，义务的		Try to recall "compulsory" before checking the answer.	core,official
word	compute	[kəmˈpjuːt]	v. 计算，估算		Try to recall "compute" before checking the answer.	core,official
word	concede	[kənˈsiːd]	v. 1. (常指勉强地)承认 2. 容许，让与		Try to recall "concede" before checking the answer.	core,official
word	conceive	[kənˈsiːv]	v. 1. 设想，想出，想象 2. 怀(胎)，怀孕		Try to recall "conceive" before checking the answer.	core,official
word	concentrate	[ˈkɒnsntreɪt]	v. 1. 集中，使集中于一点 2. 聚集 3. 聚精会神，集中思想		Try to recall "concentrate" before checking the answer.	core,official
word	concentration	[ˌkɒnsnˈtreɪʃən]	n. 集中，注意力		Try to recall "concentration" before checking the answer.	core,official
word	concept	[ˈkɒnsept]	n. 概念，观念，思想		Try to recall "concept" before checking the answer.	core,official
word	conception	[kənˈsepʃən]	n. 1. 概念，观念，理解 2. 构想，看法 3. 受孕，妊娠		Try to recall "conception" before checking the answer.	core,official
word	concern	[kənˈsɜːn]	v. 1. 涉及，影响 2. 使关心，使挂念，使担心 || as far as…be concerned关于…，至于… n. 1. (利害)关系，所关切的事 2. 关心，担心，挂念 3. 商行，企业 || show concern for关心		Try to recall "concern" before checking the answer.	core,official
word	concise	[kənˈsaɪs]	adj. 简洁的，简明的		Try to recall "concise" before checking the answer.	core,official
word	conclude	[kənˈkluːd]	v. 1. 结束 2. 推断出，断定		Try to recall "conclude" before checking the answer.	core,official
word	condemn	[kənˈdem]	v. 1. 谴责 2. 定罪，判处		Try to recall "condemn" before checking the answer.	core,official
word	condense	[kənˈdens]	v. 1. (使气体)冷凝，(使)凝结 2. 使浓缩 3. 压缩，缩写(文章等)		Try to recall "condense" before checking the answer.	core,official
word	conduct	[ˈkɒndʌkt]	n. 1. 行为，品行，举动 2. 指导，引导 3. 实行，处理，经营 v. 1. 引导，带领，陪伴(游客等)，指导 2. 实施，处理，经营 3. 指挥(乐队等) 4. 传导，传(热、电等)		Try to recall "conduct" before checking the answer.	core,official
word	confer	[kənˈfɜː]	v. 1. 商讨 2. 授予，颁赠(勋衔、学位等)		Try to recall "confer" before checking the answer.	core,official
word	conference	[ˈkɒnfərəns]	n. 1. 讨论，会谈 2. (正式的)会议，讨论会		Try to recall "conference" before checking the answer.	core,official
word	confidence	[ˈkɒnfɪdəns]	n. 1. 信任 2. 信心，自信，把握 3. (向知心人)吐露的秘密，说私房话		Try to recall "confidence" before checking the answer.	core,official
word	confident	[ˈkɒnfɪdənt]	adj. 确信的，肯定的，自信的		Try to recall "confident" before checking the answer.	core,official
word	confidential	[ˌkɒnfɪˈdenʃəl]	adj. 1. 秘密的，机密的，保密的 2. 极受信任的，负责机密工作的		Try to recall "confidential" before checking the answer.	core,official
word	configuration	[kənˌfɪɡəˈreɪʃə]	n. 构造，外形，布置，结构		Try to recall "configuration" before checking the answer.	core,official
word	confine	[kənˈfaɪn]	v. 1. 幽禁，监禁 2. 限制，把…局限于		Try to recall "confine" before checking the answer.	core,official
word	confirm	[kənˈfɜːm]	v. 1. 证实，认可 2. 使坚定，加强		Try to recall "confirm" before checking the answer.	core,official
word	conflict	[ˈkɒnflɪkt]	n. 1. 斗争，战斗 2. 抵触，冲突		Try to recall "conflict" before checking the answer.	core,official
word	conform	[kənˈfɔːm]	v. (使)一致，(使)符合，(使)遵照，(使)适应		Try to recall "conform" before checking the answer.	core,official
word	confront	[kənˈfrʌnt]	v. 1. (困难等)临头 2. (使)面对，使)面临 3. 勇敢地面对(危险等)，正视，对抗		Try to recall "confront" before checking the answer.	core,official
word	confusion	[kənˈfjuːʒn]	n. 混乱，混乱状态，骚乱		Try to recall "confusion" before checking the answer.	core,official
word	congress	[ˈkɒŋɡres]	n. 1. (代表)大会 2. (cap)国会，议会 3. 聚会，会议		Try to recall "congress" before checking the answer.	core,official
word	conscientious	[ˌkɒnʃɪˈenʃəs]	adj. 审慎正直的，认真的，本着良心的		Try to recall "conscientious" before checking the answer.	core,official
word	conscious	[ˈkɒnʃəs]	adj. 1. 有意识的，意识到的，自觉的 2. 神志清醒的		Try to recall "conscious" before checking the answer.	core,official
word	consecutive	[kənˈsekjʊtɪv]	adj. 连续的，接续的		Try to recall "consecutive" before checking the answer.	core,official
word	consensus	[kənˈsensəs]	n. (意见等的)一致，一致同意，共识		Try to recall "consensus" before checking the answer.	core,official
word	consent	[kənˈsent]	v. 同意，答应，承诺		Try to recall "consent" before checking the answer.	core,official
word	consequence	[ˈkɒnsɪkwəns]	n. 1. 结果，后果 2. 重要(性)		Try to recall "consequence" before checking the answer.	core,official
word	consequent	[ˈkɒnsɪkwənt]	adj. 随之而来的，由…所导致的		Try to recall "consequent" before checking the answer.	core,official
word	consequently	[ˈkɒnsɪkwəntlɪ]	adv. 因而，所以		Try to recall "consequently" before checking the answer.	core,official
word	conservation	[ˌkɒnsəˈveɪʃən]	n. 1. 保存 2. (森林等自然资源的)保护，资源保护区		Try to recall "conservation" before checking the answer.	core,official
word	conservative	[kənˈsɜːvətɪv]	adj. 1. 保守的 2. 拘谨的，谨慎的 n. 1. 因循守旧者，保守者 2. 保守党党员		Try to recall "conservative" before checking the answer.	core,official
word	conserve	[kənˈsɜːv]	v. 节约使用，保存		Try to recall "conserve" before checking the answer.	core,official
word	considerable	[kənˈsɪdərəbl]	adj. 1. 值得考虑的 2. 值得重视的，重要的 3. 相当大(或多)的		Try to recall "considerable" before checking the answer.	core,official
word	considerate	[kәnˈsidәrit]	a. 体贴的，体谅的，考虑周到的		Try to recall "considerate" before checking the answer.	core,official
word	consist	[kənˈsɪst]	v. 1. 由…组成，由…构成 2. 在于，存在于		Try to recall "consist" before checking the answer.	core,official
word	consistent	[kənˈsɪstənt]	adj. 1. 坚固的，坚实的 2. 一致的，连贯的，始终如一的		Try to recall "consistent" before checking the answer.	core,official
word	console	[kənˈsəʊl]	v. 安慰，慰问 n. 仪表板，控制台，键盘之入口		Try to recall "console" before checking the answer.	core,official
word	consolidate	[kənˈsɒlɪdeɪt]	v. 1. 巩固，加强 2. 综合，统一，合并		Try to recall "consolidate" before checking the answer.	core,official
word	conspicuous	[kənˈspɪkjʊəs]	adj. 显著的，引人注目的		Try to recall "conspicuous" before checking the answer.	core,official
word	constant	[ˈkɒnstənt]	n. 1. 坚定的，坚贞的，永恒的 2. 经常的，不断的		Try to recall "constant" before checking the answer.	core,official
word	constituent	[kənˈstɪtjʊənt]	n. 1. 选民，选举人 2. 成分，要素 adj. 组成的，形成的		Try to recall "constituent" before checking the answer.	core,official
word	constitute	[ˈkɒnstɪtjuːt]	v. 构成，组成		Try to recall "constitute" before checking the answer.	core,official
word	constitution	[ˌkɒnstɪˈtjuːʃən]	n. 1. 宪法 2. 体质，体格 3. 构造，结构		Try to recall "constitution" before checking the answer.	core,official
word	constrain	[kənˈstreɪn]	v. 强迫，强制		Try to recall "constrain" before checking the answer.	core,official
word	construct	[kәnˈstrʌkt]	v. 1. 构造，建造 2. 对……进行构思 n. 1. 构想，概念 2. 建造物，构成物；构思的产物		Try to recall "construct" before checking the answer.	core,official
word	consult	[kənˈsʌlt]	v. 1. 找…商议 2. 找(医生)诊治 3. 翻阅，查考(书籍，地图等) || consult with和…商议		Try to recall "consult" before checking the answer.	core,official
word	consultant	[kənˈsʌltənt]	n. 1. 顾问，专家 2. (BrE)医院的高级顾问医师		Try to recall "consultant" before checking the answer.	core,official
word	consume	[kənˈsjuːm]	v. 1. 消费，耗尽 2. 烧毁，吃光，饮尽		Try to recall "consume" before checking the answer.	core,official
word	consumer	[kənˈsjuːmə]	n. 消费者		Try to recall "consumer" before checking the answer.	core,official
word	consumption	[kənˈsʌmpʃən]	n. 消费(量)，消耗		Try to recall "consumption" before checking the answer.	core,official
word	contact	[ˈkɒntækt]	v. 使接触，与…接触(或联系) n. 1. 接触，联系 2. 交往，交际 || make contact with sb(sth)与某人(事)交谈、会晤、取得联系		Try to recall "contact" before checking the answer.	core,official
word	contaminate	[kənˈtæmɪneɪt]	v. 污染，玷污，弄脏		Try to recall "contaminate" before checking the answer.	core,official
word	contemplate	[ˈkɒntempleɪt]	v. 1. 沉思，仔细考虑，意欲 2. 注视，凝视		Try to recall "contemplate" before checking the answer.	core,official
word	contempt	[kənˈtempt]	n. 轻视，轻蔑		Try to recall "contempt" before checking the answer.	core,official
word	contend	[kənˈtend]	v. 1. 搏斗，争斗 2. 争，竞争 3. 声称，主张		Try to recall "contend" before checking the answer.	core,official
word	contention	[kənˈtenʃən]	n. 1. 争论，争辩，论战 2. 论点，主张		Try to recall "contention" before checking the answer.	core,official
word	contest	[kənˈtest]	v. 争夺，竞争		Try to recall "contest" before checking the answer.	core,official
word	continuity	[kɒntɪˈnjuːətɪ]	n. 连贯性，连续性，持续性		Try to recall "continuity" before checking the answer.	core,official
word	contract	[ˈkɒntrækt]	n. 契约，合同 v. 1. 订立合约，签订合同 2. 使缩小，(使)收缩 3. 得病，感染疾病		Try to recall "contract" before checking the answer.	core,official
word	contradict	[ˌkɒntrəˈdɪkt]	v. 1. 否定 2. 与…矛盾		Try to recall "contradict" before checking the answer.	core,official
word	contradiction	[ˌkɒntrəˈdɪkʃən]	n. 矛盾		Try to recall "contradiction" before checking the answer.	core,official
word	contrast	[ˈkɒntrɑːst]	n. 对比，比照 [kənˈtrɑːst] v. 使对比，形成对照		Try to recall "contrast" before checking the answer.	core,official
word	contribute	[kənˈtrɪbjuːt]	v. 1. 捐助，捐赠 2. 投稿 3. 贡献，对…作出贡献		Try to recall "contribute" before checking the answer.	core,official
word	contribution	[ˌkɒntrɪˈbjuːʃən]	n. 1. 捐款 2. 投稿 3. 贡献		Try to recall "contribution" before checking the answer.	core,official
word	contrive	[kənˈtraɪv]	v. 发明， 设计，设法做到		Try to recall "contrive" before checking the answer.	core,official
word	controversial	[ˌkɒntrəˈvɜːʃəl]	adj. 引起争论的，有争议的		Try to recall "controversial" before checking the answer.	core,official
word	controversy	[ˈkɒntrəvɜːsɪ, kənˈtrɒvəsɪ]	n. 争论，辩论		Try to recall "controversy" before checking the answer.	core,official
word	convene	[kənˈviːn]	v. 召集会议		Try to recall "convene" before checking the answer.	core,official
word	convenience	[kənˈviːnjəns]	n. 1. 便利，方便 2. 方便的时候，适当的机会 3. 便利设施		Try to recall "convenience" before checking the answer.	core,official
word	convention	[kənˈvenʃən]	n. 1. (传统性的)习惯 2. 代表大会，定期大会		Try to recall "convention" before checking the answer.	core,official
word	conventional	[kənˈvenʃənəl]	adj. 习惯的，常规的		Try to recall "conventional" before checking the answer.	core,official
word	converge	[kənˈvɜːdʒ]	v. 聚集， 集中一点，汇合		Try to recall "converge" before checking the answer.	core,official
word	conversion	[kənˈvɜːʃən]	n. 1. 转变，变换 2. 信仰的改变 3. 兑换		Try to recall "conversion" before checking the answer.	core,official
word	convert	[kənˈvɜːt]	v. 1. 改变，转变 2. 改变…的信仰 3. 兑换 n. 改变信仰的人，皈依者		Try to recall "convert" before checking the answer.	core,official
word	convey	[kənˈveɪ]	v. 1. 运输，运送 2. 传达，传递		Try to recall "convey" before checking the answer.	core,official
word	convict	[kənˈvɪkt]	v. 证明、宣判…有罪，定罪 n. 被判入狱的罪犯		Try to recall "convict" before checking the answer.	core,official
word	convince	[kənˈvɪns]	v. 1. 使确信，使信服 2. 说服		Try to recall "convince" before checking the answer.	core,official
word	cooperative	[kəʊˈɒpərətɪv]	n. 合作社，合作商店(企业等) adj. 1. 合作的，协作的 2. 有合作意向的，乐意合作的		Try to recall "cooperative" before checking the answer.	core,official
word	cope	[kəʊp]	v. (成功地)对付，应付		Try to recall "cope" before checking the answer.	core,official
word	cord	[kɔːd]	n. 1. 绳索，带子 2. 小电线 3. 键 4. 灯芯绒		Try to recall "cord" before checking the answer.	core,official
word	cordial	[ˈkɔːdɪəl]	adj. 热情友好的，热诚的		Try to recall "cordial" before checking the answer.	core,official
word	cork	[kɔːk]	n. 软木，软木塞		Try to recall "cork" before checking the answer.	core,official
word	corporate	[ˈkɔːpərət]	adj. 1. 团体的，全体的 2. 公司的		Try to recall "corporate" before checking the answer.	core,official
word	corps	[kɔː]	n. 1. 特种部队，军团 2. 共同工作、活动的一群人		Try to recall "corps" before checking the answer.	core,official
word	corpse	[kɔːps]	n. 尸体		Try to recall "corpse" before checking the answer.	core,official
word	correlate	[ˈkɒrəleɪt]	n. 有相互关系的东西，相关物 v. 使有相互关系，互相有关系		Try to recall "correlate" before checking the answer.	core,official
word	correspondent	[ˌkɒrɪˈspɒndənt]	n. 通信者，(新闻)通讯员，记者		Try to recall "correspondent" before checking the answer.	core,official
word	corresponding	[ˌkɒriˈspɒndiŋ]	a. 1. 相当的，一致的 2. 通信的		Try to recall "corresponding" before checking the answer.	core,official
word	corrode	[kəˈrəʊd]	v. (使)腐蚀，侵蚀		Try to recall "corrode" before checking the answer.	core,official
word	corrupt	[kəˈrʌpt]	adj. 1. 腐败的，贪污的 2. 腐烂的，污浊的 v. 1. 使败坏，腐蚀，使腐坏 2. 贿赂		Try to recall "corrupt" before checking the answer.	core,official
word	costume	[ˈkɒstjuːm]	n. 服装，剧装，戏服		Try to recall "costume" before checking the answer.	core,official
word	council	[ˈkaʊnsəl]	n. 1. 理事会，委员会 2. 地方议会		Try to recall "council" before checking the answer.	core,official
word	counsel	[ˈkaʊnsəl]	n. 1. 辩护律师 2. (专业)意见，忠告，劝告 v. 劝告，提供意见		Try to recall "counsel" before checking the answer.	core,official
word	counter	[ˈkaʊntə]	n. 1. 柜台 2. 筹码 adj. 1. 相反的，对立的 2. 反对的，敌意的		Try to recall "counter" before checking the answer.	core,official
word	counterpart	[ˈkaʊntəpɑːt]	n. 相对应的人(物)		Try to recall "counterpart" before checking the answer.	core,official
word	coupon	[ˈkuːpɒn]	n. 优惠券，赠券，票证		Try to recall "coupon" before checking the answer.	core,official
word	court	[kɔːt]	n. 1. 法院，法庭 2. (网球等)球场 v. 求爱		Try to recall "court" before checking the answer.	core,official
word	coverage	[ˈkʌvərɪdʒ]	n. 1. 报道 2. 赔偿范围，保险额 3. 范围		Try to recall "coverage" before checking the answer.	core,official
word	coward	[ˈkaʊəd]	n. 怯懦，胆怯者		Try to recall "coward" before checking the answer.	core,official
word	cozy	[ˈkәuzi]	a. 舒适的，安逸的，惬意的 v. 取悦，献殷勤		Try to recall "cozy" before checking the answer.	core,official
word	cradle	[ˈkreɪdl]	n. 1. 摇篮 2. 策源地，发源地		Try to recall "cradle" before checking the answer.	core,official
word	crash	[kræʃ]	v. 1. 碰撞，坠落 2. 发出撞击(或爆裂)声 3. 失败，垮台，崩溃 n. 1. 碰撞， 坠落 2. 撞击声，爆裂声 3. 失败，垮台，崩溃		Try to recall "crash" before checking the answer.	core,official
word	creation	[kriːˈeɪʃən]	n. 1. 创造，创作 2. 作品		Try to recall "creation" before checking the answer.	core,official
word	credible	[ˈkredəbl]	adj. 可信的，可靠的		Try to recall "credible" before checking the answer.	core,official
word	credit	[ˈkredɪt]	n. 1. 信任 2. 信用，信用往来，赊欠 3. 信誉，声望，威信 4. 荣誉，光荣 5. 学分 6. (银行)存款，债权 || be a credit to 为…增光 v. 相信，信任		Try to recall "credit" before checking the answer.	core,official
word	crew	[kruː]	n. 全体船员，全体乘务员		Try to recall "crew" before checking the answer.	core,official
word	crime	[kraɪm]	n. 罪行，罪恶		Try to recall "crime" before checking the answer.	core,official
word	criminal	[ˈkrɪmɪnl]	adj. 犯罪的，刑事的 n. 罪犯，犯人		Try to recall "criminal" before checking the answer.	core,official
word	cripple	[ˈkrɪpl]	n. 跛足的人，残废人 v. 1. 使…残废 2. 使…受损害，使…丧失活动能力		Try to recall "cripple" before checking the answer.	core,official
word	crisis	[ˈkraɪsɪs]	n. 1. 危机 2. 危急存亡之际，决定性时刻，转折点		Try to recall "crisis" before checking the answer.	core,official
word	crisp	[krɪsp]	adj. 1. 脆的，硬而易碎的 2. 清新的，爽快的 3. 干脆明确的(态度等)		Try to recall "crisp" before checking the answer.	core,official
word	criterion	[kraɪˈtɪərɪən]	（pl criteria) n. 标准，准则		Try to recall "criterion" before checking the answer.	core,official
word	critic	[ˈkrɪtɪk]	n. 批评家，评论家		Try to recall "critic" before checking the answer.	core,official
word	critical	[ˈkrɪtɪkəl]	adj. 1. 批评(性)的，评论(性)的 2. 对…表示谴责的，对…感到不满的 3. 紧要的，关键性的，危害的		Try to recall "critical" before checking the answer.	core,official
word	criticism	[ˈkrɪtɪsɪzəm]	n. 1. 评论文章，评论 2. 批评，指责，非难		Try to recall "criticism" before checking the answer.	core,official
word	criticize	[ˈkritisaiz]	v. 1. 批评，非难，吹毛求疵 2. 评论，评价		Try to recall "criticize" before checking the answer.	core,official
word	crowd	[kraʊd]	n. 群，人群 v. 聚集，群集		Try to recall "crowd" before checking the answer.	core,official
word	crucial	[ˈkruːʃəl]	adj. 极重要的，决定性的，关键性的		Try to recall "crucial" before checking the answer.	core,official
word	crumble	[ˈkrʌmbl]	v. 1. 弄碎，粉碎 2. 崩溃，瓦解		Try to recall "crumble" before checking the answer.	core,official
word	crush	[krʌʃ]	v. 1. 压碎 2. 压服，压倒 n. 1. 压碎 2. (水果的)汁		Try to recall "crush" before checking the answer.	core,official
word	cucumber	[ˈkjuːkʌmbə]	n. 黄瓜		Try to recall "cucumber" before checking the answer.	core,official
word	culminate	[ˈkʌlmɪneɪt]	v. 达到顶点(高潮)，以…告终 || culminate in达到…高峰，终于		Try to recall "culminate" before checking the answer.	core,official
word	culture	[ˈkʌltʃə]	n. 1. 文化，精神文明 2. 教养，陶冶，修养 3. 栽培，养殖，培养		Try to recall "culture" before checking the answer.	core,official
word	cumulative	[ˈkjuːmjʊlətɪv]	adj. 累积的，渐增的		Try to recall "cumulative" before checking the answer.	core,official
word	curb	[kɜːb]	n. 1. 勒马的链条(皮带) 2. 控制，约束，抑制 v. 1. 给(马)装上勒马链，勒住(马) 2. 控制，约束，抑制		Try to recall "curb" before checking the answer.	core,official
word	current	[ˈkʌrənt]	adj. 1. 目前运用的，广泛流通的 2. 现在的，目前的 n. 1. 水流，气流 2. 思潮，倾向		Try to recall "current" before checking the answer.	core,official
word	curse	[kɜːs]	n. 诅咒，咒骂，骂人话 v. 诅咒，咒骂		Try to recall "curse" before checking the answer.	core,official
word	customary	[ˈkʌstəmərɪ]	adj. 习惯的，惯例的，通常的		Try to recall "customary" before checking the answer.	core,official
word	cute	[kjuːt]	adj. 娇小可爱的		Try to recall "cute" before checking the answer.	core,official
word	cycle	[ˈsaɪkl]	n. 1. 周期，循环 2. (无线电)周(波) v. 1. 循环，轮转 2. 骑自行车(三轮脚踏车，机器脚踏车)		Try to recall "cycle" before checking the answer.	core,official
word	cylinder	[ˈsɪlɪndə]	n. 1. 圆筒，圆柱体 2. 汽缸 3. (印刷机)滚筒 4. (左轮手枪的)旋转枪膛 5. 圆柱体体积		Try to recall "cylinder" before checking the answer.	core,official
word	cynical	[ˈsɪnɪkəl]	adj. 愤世嫉俗的，(对人性或动机)怀疑的		Try to recall "cynical" before checking the answer.	core,official
word	dart	[dɑːt]	n. 飞镖 v. 猛冲，投掷，发射		Try to recall "dart" before checking the answer.	core,official
word	database	[ˈdeɪtəˌbeɪs]	n. 资料库，数据库		Try to recall "database" before checking the answer.	core,official
word	dazzle	[ˈdæzl]	v. 1. 使眼花，耀眼 2. 使惊奇，使倾倒 n. 闪耀，耀眼		Try to recall "dazzle" before checking the answer.	core,official
word	deadline	[ˈdedlaɪn]	n. 截止时间(期限)		Try to recall "deadline" before checking the answer.	core,official
word	deadly	[ˈdedlɪ]	adj. 致命的，势不两立的，死气沉沉的 adv. 死一般地，非常，极度		Try to recall "deadly" before checking the answer.	core,official
word	dean	[diːn]	n. 1. 教务长 2. (大学的)学院院长，系主任 v. 担任教务长(院长、系主任等)		Try to recall "dean" before checking the answer.	core,official
word	debate	[dɪˈbeɪt]	v. 1. 辩论，讨论 2. 考虑，盘算 n. 辩论，争论，辩论比赛		Try to recall "debate" before checking the answer.	core,official
word	decade	[ˈdekeɪd]	n. 十年，十		Try to recall "decade" before checking the answer.	core,official
word	decay	[dɪˈkeɪ]	v. 1. 使腐败，使腐烂 2. 使衰弱，使衰退 n. 1. 腐烂，腐朽 2. 衰退，衰败		Try to recall "decay" before checking the answer.	core,official
word	deceive	[dɪˈsiːv]	v. 欺骗，欺诈		Try to recall "deceive" before checking the answer.	core,official
word	decent	[ˈdiːsənt]	adj. 1. 体面的，得体的，正当的 2. 严肃的，高雅的，正派的 3. 和气的，过得去的，宽容的		Try to recall "decent" before checking the answer.	core,official
word	decimal	[ˈdesɪml]	n. 小数，十进小数 adj. 小数的，十进位的		Try to recall "decimal" before checking the answer.	core,official
word	decisive	[dɪˈsaɪsɪv]	adj. 1. 坚决的，果断的，有决定作用的 2. 确定的，明确的		Try to recall "decisive" before checking the answer.	core,official
word	decorate	[ˈdekəreɪt]	v. 装饰，装修，粉刷 decorator		Try to recall "decorate" before checking the answer.	core,official
word	decrease	[dɪˈkriːs]	v. (使)减少，减弱，减轻 n. 减少，减少额		Try to recall "decrease" before checking the answer.	core,official
word	decree	[dɪˈkriː]	n. 命令，法令，判决 v. 命令，颁布命令，判定		Try to recall "decree" before checking the answer.	core,official
word	dedicate	[ˈdedɪkeɪt]	v. 1. 以…奉献 2. 为…举行落成仪式 3. 把(一生等)献给，把(时间、精力等)用于		Try to recall "dedicate" before checking the answer.	core,official
word	deduce	[dɪˈdjuːs]	v. 推论，演绎		Try to recall "deduce" before checking the answer.	core,official
word	deduct	[dɪˈdʌkt]	v. 扣除，减去		Try to recall "deduct" before checking the answer.	core,official
word	deem	[diːm]	v. 认为，相信，视为		Try to recall "deem" before checking the answer.	core,official
word	default	[dɪˈfɔːlt]	n. 1. 违约，缺席，拖欠 2. (电脑的)预设，预置(值) v. 不履行，不到场，未付(债等)		Try to recall "default" before checking the answer.	core,official
word	defeat	[dɪˈfiːt]	v. 击败，战胜，挫败 n. 击败，败北		Try to recall "defeat" before checking the answer.	core,official
word	defect 1	[ˈdiːfekt]	n. 缺点，瑕疵		Try to recall "defect 1" before checking the answer.	core,official
word	defect 2	[dɪˈfekt]	v. 背叛，变节		Try to recall "defect 2" before checking the answer.	core,official
word	defendant	[dɪˈfendənt]	n. 被告		Try to recall "defendant" before checking the answer.	core,official
word	defiance	[dɪˈfaɪəns]	n. 违抗，蔑视，挑战		Try to recall "defiance" before checking the answer.	core,official
word	deficiency	[dɪˈfɪʃənsɪ]	n. 1. 缺乏，短缺 2. 缺点，毛病		Try to recall "deficiency" before checking the answer.	core,official
word	deficit	[ˈdefɪsɪt]	n. 赤字，亏损		Try to recall "deficit" before checking the answer.	core,official
word	define	[dɪˈfaɪn]	v. 解释，给…下定义，确定…的范围(界限)		Try to recall "define" before checking the answer.	core,official
word	definitely	[ˈdefɪnɪtlɪ]	adv. 1. 当然，一定，确定 2. (和否定词连用)对，绝对		Try to recall "definitely" before checking the answer.	core,official
word	definition	[ˌdefɪˈnɪʃən]	n. 定义，限定，清晰		Try to recall "definition" before checking the answer.	core,official
word	definitive	[dɪˈfɪnətɪv]	adj. 1. 确定的，有权威的，不能(不必)改变的 2. 决定性的		Try to recall "definitive" before checking the answer.	core,official
word	defy	[dɪˈfaɪ]	v. 1. 违抗，蔑视 2. 激(某人)做		Try to recall "defy" before checking the answer.	core,official
word	degenerate	[dɪˈdʒenərət]	adj. 退步的，退化的，堕落的 n. 堕落者，腐化者 [dɪˈdʒenəreɪt] v. 退化，衰败，堕落		Try to recall "degenerate" before checking the answer.	core,official
